"","Feature","Gain","Cover","Frequency","Importance","norm_importance"
"38","MOD-3.A.3",0.00833211762258636,0.0198764827342078,0.0110497237569061,0.00833211762258636,0.754056644844065
"39","MOD-1.D.1",0.0082287784290139,0.0164227246107857,0.0128913443830571,0.0082287784290139,0.638318098136364
"40","MOD-1.B.1",0.00765814947768601,0.00646125215641468,0.00552486187845304,0.00765814947768601,1.38612505546117
"41","MOD-2.E.1",0.0074502331977013,0.00671624898759977,0.00736648250460405,0.0074502331977013,1.01136915658795
"42","VAR-2.D.2",0.00744100406781037,0.0196861046987103,0.0110497237569061,0.00744100406781037,0.673410868136838
"43","MOD-2.H.1",0.00724753280783156,0.0165150430534526,0.00920810313075507,0.00724753280783156,0.787082062930508
"44","CON-2.A.2",0.00713857054739408,0.0129983248966216,0.00736648250460405,0.00713857054739408,0.969060951808747
"45","CON-1.B.4",0.00682755673669939,0.000553628858097174,0.00736648250460405,0.00682755673669939,0.926840827006942
"46","VAR-1.E.5",0.00633652486136706,0.016507100817379,0.00920810313075507,0.00633652486136706,0.688146599944463
"47","CON-1.B.3",0.00632715035616043,0.012281412328005,0.00736648250460405,0.00632715035616043,0.858910660848778
"48","CON-1.F.3",0.00584117829701106,0.00686220463994455,0.00736648250460405,0.00584117829701106,0.792939953819251
"49","CON-2.O.1",0.00573541114686722,0.00867688262488975,0.0110497237569061,0.00573541114686722,0.519054708791484
"50","CON-1.D.2",0.00554654847319535,0.0132939894548547,0.00736648250460405,0.00554654847319535,0.752943955236269
"51","VAR-1.G.2",0.00542952574936592,0.0132824931289159,0.00736648250460405,0.00542952574936592,0.737058120476424
"52","VAR-1.B.3",0.00537741908263702,0.0132846661636033,0.00736648250460405,0.00537741908263702,0.729984640467975
"53","CON-2.I.1.C",0.00505999176613131,0.0164273642829539,0.00920810313075507,0.00505999176613131,0.54951510580186
"54","CON-2.C.2",0.00495589108280992,0.0164017965288693,0.00920810313075507,0.00495589108280992,0.538209771593158
"55","CON-1.H.4",0.00467929881142306,0.00991040894433903,0.00552486187845304,0.00467929881142306,0.846953084867573
"56","CON-2.A.4",0.00464957648199559,0.00123443050384804,0.00368324125230203,0.00464957648199559,1.2623600148618
"57","MOD-2.B.1",0.00453107231447279,0.000322084777275425,0.0165745856353591,0.00453107231447279,0.273374696306525
"58","CON-1.E.1",0.00450858004701273,0.00650646698659739,0.00552486187845304,0.00450858004701273,0.816052988509303
"59","CON-1.F.1",0.00442558049636627,0.000290614432398648,0.00920810313075507,0.00442558049636627,0.480618041905377
"60","MOD-3.E.3.A",0.00436395803976245,0.00680419611479173,0.00552486187845304,0.00436395803976245,0.789876405197003
"61","VAR-2.A.7",0.00429229713441056,0.00137260381208639,0.00368324125230203,0.00429229713441056,1.16535867199247
"62","CON-2.I.1.B",0.0042451747642201,0.0132151533646654,0.00736648250460405,0.0042451747642201,0.576282474242878
"63","VAR-1.C.2",0.00423200822886292,0.00662928552326975,0.00736648250460405,0.00423200822886292,0.574495117068141
"64","MOD-3.C.1",0.00411608179853979,0.00025447165970761,0.00552486187845304,0.00411608179853979,0.745010805535702
